"Prolific_ID","Basic_needs"
"55d621bbdb6a810013fa0ea0","My most basic needs are safe housing with basic utilities, the ability to stay warm, electricty, food and access to education"
"563f734bcbd4c60005dc9442","My basic needs would include shelter, heat, water, food, power, access to medicine (if required), clean air and a safe country to live in."
"5664b80b4ef50400127da023","If I couldn’t afford to pay for petrol or run my car and do basic food shopping"
"5687d434369319000c269c03","Food is the most obvious  one, then housing, we need a roof over our heads. Also clothing, and other basic grooming items, eg hairdresser."
"56896433d3d6a7000ca23d94","Basic human needs include everything from housing to jobs. A house with heating and running water is vital. You also need a good job to provide you with food and water to survive."
"56bbad070b36c4000b4d4ef9","For me my basic needs are having enough money to pay my bills like my mortgage, energy, council tax, water etc, have food and then have enough money for things like broadband, some streaming services etc."
"56c893c9dfea6c000db24a52","i need shelter , warmth and food and income  i would be content these basic needs as I could live very frugally.. if my income would decrease i would suffer greatly and be very concerned"
"56f6a4edc1f247000c00ec8c","Most important is housing then food then hygiene"
"573a34f614f69e000d7d670f","a home shelter  food  clothing  heating"
"57d74ff1ea00cf0001d47148","My most basic needs would be to have housing, food and water. I think without any of those things my quality of life would seriously drop and effect everything else in my life."
"57dc590ddcda780001a0e157","I'm not entirely sure what is meant by this question, but I will try my best. As retired person with some part time work and a small work place pension, my quality of life would be severely affected if any of those three siurces of income were to be compromised. I can manage on my current income. I have enough to cover the basic bills and do the things I enjoy such as visiting family and meeting up with friends. However, I have to bufget carefully and set aside money for home and car maintenance and repairs. All of this would be in jeopardy if my income was to fall below it's present level."
"57fc95035682050001101433","Food is the most basic cost to live, followed by rent and bills. Internet might sound like a luxury but its required for my job so I consider it a basic need now."
"58b99fcaf814e400015249bc","I think my most basic needs include a safe and stable place to live, enough food and clean water and access to healthcare when needed.  I also need supportive relationships and a sense of purpose to feel fulfilled."
"58bfee7de5869400018f5e9e","My most basic needs are to be able to afford food and housing"
"591c70f8f399850001c51444","i think my basic needs are4 having a home and roof over my head and enough money to be able to pay for my energy consumption and utility bills to  be able t6o live in a nice home, and also to have enough money for the shopping needed"
"5980a6561d20fd0001e6f53f","I need to be with my partner. I need to own my own home. And I need to have access to culture."
"5987030cfd8cca00015cbc26","I need food, water , clothing and heating mainly to have a minimal lifestyle and also able to buy products and appliances as needed.
I need to be able to buy food, have a phone and also internet to communicate with others and a good home to live in that is safe and comfortable .
If these were not met , I would become ill and miserable and not eating proper food would seriously impact my life and possible even cause death if I did not have the bare essentials ."
"59942e109845ef00014de0a3","My most basic needs amount to roughly £2k per month which covers the financial absolutes in my life, such as housing, food, travel and such."
"59ccd702faf42e00012b68f5","My most basic needs are food and water. I need them both to live. If I was without them, my physical health would suffer quite quickly. Some other basic needs are shelter and warmth. Without these needs my health would deteriorate and I would feel very insecure."
"59ff2fbddf3fa800015c2d64","A roof over my head, food in my stomach, warm clothes and my medication. Without medication I would die and if I was homeless I would have no status and as a woman feel constantly in danger"
"5a6cfbea3fb6420001c311a7","Housing, Food, Transport, communication.
Without any of these my family will be relying on the state to provide this and thus quality of the thing we have have will go too , it will be enough our social status will plummet and it in turn affect our mental health"
"5a79d9cc5292b800012290b9","food, shelter, water, internet, electricity"
"5aa559ee1eda41000136cd9a","My most basic needs are much the same as anyone else's, I think. If I couldn't afford to eat either 3 meals a day or enough food a day to not feel hungry that would be awful. I use the internet a lot so if I couldn't afford the internet that would be terrible for me. Obviously if I (well, my partner) couldn't afford the rent that would be completely disastrous. Being homeless at my age and with my poor health would probably kill me off."
"5b13da851e55760001ba009a","I need to pay my rent on the first of each month.  I have to have enough money for gas and electric, so I can cook, and have the central heating on a couple of hours a day.  I also need to have enough money for food, have to have decent meals, to keep well.  I also try to save a bit of money each month, for holidays, Christmas etc"
"5b421b9ac2e3810001763252","It would be having enough money to pay the bills because if I ould not do this I would find it very stressful. I think I could not have water or gas and electricity and would suffer from this."
"5b4dfe26116e9c00011e38c8","Money would be the first option that you need for basic needs, as money can buy food, and give you accommodation."
"5b587d897846fa0001fc11c6","One of the most basic needs for me and others is food. If I couldn't meet this need then I would be hungry, and would decrease my quality of life, as I would have to go to work and be hungry all of the time. Another of my basic needs are social - that is if I didn't have any friends or family to talk to, then I would experience a drop in quality of my life as well, as I would have no support network. Finally there is my financial needs - if I didn't have enough money to get by on a day to day basis, I'd be very unhappy."
"5b6ae897122e27000180a65b","My basic needs are food and a healthy diet, a warm clean house and my family. If I didn't have them my mental health would drop drastically."
"5b7467ea50075a0001107043","My basic needs are quite simple and are just to have enough money to pay my rent and additional basic needs such as travel and food. Another important part of my life is to be able to pay for healthcare - namely for me this is therapy and when I can’t afford it my overall wellbeing and life does suffer with a wide impact. My interests are not costly but just having basic safe surroundings is most important."
"5bb62f1a3e969700019bd44d","Guaranteed income so that I am able to cover the basics to start.  Also in this day & age I think not having the internet or mobile phone.  Enough money to get to work & back without having to walk or cycle etc."
"5bb775b0f1f9ba000140e7b3","Basic needs would be, food drink home and heat if these were not around then my life would be awful. My family also constitutes to a basic need that I need."
