"Prolific_ID","Behave_desp"
"55d621bbdb6a810013fa0ea0","I simply have to adapt to these circumstances. I eat less food, and cannot afford healthy food in  terms of money or time it takes to prepare.  It is now winter and I only keep 1 room of my home heated intermittently to approx 16c, in order to minimise costs. I have no budget for anything other than essentials, I can't spend money on anything extraneous like eating out, or travel, or buying new shoes."
"563f734bcbd4c60005dc9442","Our son died aged 5 weeks. I failed to cope and my mental health deteriorated. It took almost 5 years to get the right mental health support to put me in a place to start living my life again. At this point I was 35k in debt. Slow process to pay this off."
"5664b80b4ef50400127da023","I tried to spend less and try to use cash back sites etc"
"5687d434369319000c269c03","We just had to manage. It often meant  hiding our financial  situation  from others, it was too shameful"
"56896433d3d6a7000ca23d94","I tried To remind myself that this was temporary and that I could fix this with time."
"56bbad070b36c4000b4d4ef9","Had help from my family who gave me a lot of support not just financially but also emotional support."
"56c893c9dfea6c000db24a52","i went to the social security and council for more money. i contacted my utility suppliers to postpone my debits. i went round my estate to wash cars and get money"
"56f6a4edc1f247000c00ec8c","I coped very badly I was homeless for about two weeks and slept rough at the airport.
I was stressed and overwhelmed.
I was fortunate to be housed in emergency accommodation until I found a job."
"573a34f614f69e000d7d670f","just try to hope it will come good in the end and have i bit of luck"
"57d74ff1ea00cf0001d47148","I just did what I could to get by and hoped time would pass by fast so I could get through this. I reached out to others who might help despite feeling embarrassed."
"57dc590ddcda780001a0e157","I cut back on spending as much as possible. I went without food and did not go out or buy any new clothes. It was a very difficult time and affected my mental health."
"57fc95035682050001101433","Lost my job so could afford to live alone. Luckily I have friends to let me stay after getting evicted until I found job. All I did was wake up and apply to places. Motivation to leave was not be a burden on friends."
"58b99fcaf814e400015249bc","I focused on cutting down expenses wherever possible, prioritizing essentials like food and housing. I reached out to friends and family for support when I needed it and explored local resources, like food banks and community assistance programs."
"58bfee7de5869400018f5e9e","I tried to live day by day to not get overwhelming by negative thoughts for the future"
"591c70f8f399850001c51444","i had to rely on family and friends"
"5980a6561d20fd0001e6f53f","I cut my spending to absolute basics and weathered the storm until I received some funds."
"5987030cfd8cca00015cbc26","Slowly caught back up the month after after scrimping , was behind with some the things I needed but took a few weeks to get back on top of everything and back to normal"
